Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms with Offices and Toilets at Community Primary School, Amikanle, Alimosho",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202280361063,"₦58,189,798.65",DARAMSON NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,RE-AWARDED,"Wednesday, February 17, 2021",2022-06-10,"ALIMOSHO, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms at Lafiaji Junior Secondary School, Okesuna, Lagos",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202282231277,"₦44,232,062.08",JULIUS AKINLABI NIGERIA LTD,Private Organization,,0,2021,ONGOING,RE-AWARDED,"Wednesday, February 17, 2021",2022-06-10,"OKESUNA, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 13 Classrooms with Offices and Toilets at L.A Primary School, Aguda, surulere",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202234538112,"₦51,871,673.53",INTERWAVES GLOBAL SERVICES LIMITED,Private Organization,,0,2021,ONGOING,RE-AWARDED,"Wednesday, February 17, 2021",2022-06-10,"SURULERE, LAGOS"
Additional Works on Renovation of the Office of the Permanent Secretary of MSD & IGR,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202250480121,"₦3,164,101.25",SYNTRICAT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 7, 2021",2022-06-10,"ALAUSA, IKEJA"
"Procurement of Bunk Beds and Mattresses for use at the Orientation Camp, Ipaja Lagos",MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202270548802,"₦9,900,000.00",SYNTRICAT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 14, 2021",2022-06-10,"IPAJA, LAGOS"
Procurement of Office Equipment for the Technical Support Department of Ministry of Special Duties and IGR,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202224682847,"₦8,140,600.00",SYNTRICAT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 7, 2021",2022-06-10,"ALAUSA, IKEJA"
"Renovation of Lagos State Emergency Management Agency Relief/Resettlement Camp, Igando",MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202244133046,"₦72,919,632.43",TIMFAT VENTURES,Private Organization,,0,2021,COMPLETED,,"Monday, July 26, 2021",2022-06-10,"IGANDO, LAGOS"
Procurement/Installation of furniture in the Command and Control Centre and CAPPA Base,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202228320020,"₦99,785,000.00",NEOTS LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, January 6, 2021",2022-06-10,"ALAUSA, IKEJA"
Renovation of Office of the Permanent Secretary Ministry of Special Duties &IGR,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202274364660,"₦4,000,000.00",SYNTRICAT SOLUTIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, June 23, 2021",2022-06-10,"ALAUSA, IKEJA"
Procurement of Furniture /Fittings/Equipment towards the Commissioning of the New LASEMA Response Unit  at the Emergency and Security Regional Dispatch Centre Epe Local Government Area of Lagos State,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202252730551,"₦81,514,925.00",NEOTS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, June 4, 2021",2022-06-10,"EPE, LAGOS"
The Replacement of the Vandalized Light Duty Rescue Equipment attached to Lekki LASEMA Response Unit Dispatch Centre,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202214103855,"₦40,000,000.00",LINKINPAK NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, May 28, 2021",2022-06-10,"LEKKI, LAGOS"
The Construction of Makeshift Office at Razed LASEMA Response Unit Dispatch Centre Lekki,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202281852183,"₦9,000,000.00",LINKINPAK NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, May 28, 2021",2022-06-10,"LEKKI, LAGOS"
Contract Award for the Television Programme-‘’Safe Lagos ’’Advocacy Campaign,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202220362621,"₦40,000,000.00",POINTCLEAR FILMS PRODUCTION,Private Organization,,0,2021,ONGOING,,"Monday, May 24, 2021",2022-06-10,"ALAUSA, IKEJA"
PROCUREMENT OF WORKING TOOLS FOR DIVISIONAL INFORMATION OFFICES,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202275836028,"₦3,220,000.00",JASON'S HEIGHTS VENTURES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, December 6, 2021",2022-06-10,"ALAUSA, IKEJA"
TVC STRATEGIC MEDIA PARTNERSHIP WITH LAGOS STATE GOVERNMENT,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202214606515,"₦30,000,000.00",CONTINENTAL BROADCASTING SERVICES (TVC),Private Organization,"₦25,000,001 to ₦50,000,000",50,2021,COMPLETED,,"Monday, November 15, 2021",2022-06-10,LAGOS STATE
PUBLICITY AND MEDIA CAMPAIN TO COMBAT FLOODING AND BLOCKAGE OF DRAINAGE CHANNELS,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202213426133,"₦10,000,000.00",DEMONUMENT COMMUNICATIONS,Private Organization,"₦25,000,001 to ₦50,000,000",34,2021,COMPLETED,,"Friday, May 28, 2021",2022-06-10,"ALAUSA, IKEJA"
PUBLIC SENSITIZATION ON MENACE OF OKADA RIDERS IN THE STATE,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202221482335,"₦10,000,000.00",DEMONUMENT COMMUNICATIONS,Private Organization,"₦25,000,001 to ₦50,000,000",34,2021,COMPLETED,,"Friday, May 28, 2021",2022-06-10,"ALAUSA, IKEJA"
PROCUREMENT OF HIGH CAPACITY VIDEO COPTER DRONE FOR THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202256637434,"₦4,999,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2021,COMPLETED,,"Tuesday, October 5, 2021",2022-06-10,"ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202256453043,"₦4,200,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 7, 2021",2022-06-10,"ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of March 2022,LASEMA,ocds-5q8fsw-6202254660056,"₦40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Thursday, April 7, 2022",2022-06-10,"ALAUSA, LAGOS"
PROCUREMENT OF OPERATIONAL VIDEO CAMERA FOR THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202234721852,"₦4,200,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 7, 2021",2022-06-10,Unspecified
Contract Award for the Facility Management of the Command & Control Centre; Operation of the Call Centre and the Mobile CCTV System,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202262076202,"₦1,200,000,000.00",LEAPSOFT LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, May 18, 2021",2022-06-10,"ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of February 2022,LASEMA,ocds-5q8fsw-6202262011564,"₦40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,COMPLETED,"Thursday, March 3, 2022",2022-06-10,"ALAUSA, LAGOS"
PROCUREMENT OF PHOTOGRAPHIC CAMERA FOR THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202285548206,"₦4,800,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2021,COMPLETED,,"Thursday, July 7, 2022",2022-06-10,"ALAUSA, IKEJA"
Procurement of Fuel for LASEMA Operational Activities for the month of January 2022,LASEMA,ocds-5q8fsw-6202276362627,"₦40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,COMPLETED,"Thursday, March 3, 2022",2022-06-10,"ALAUSA, LAGOS"
REFURBISHMENT AND PROCUREMENT OF OFFICE FURNITURE / WORKSTATION,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202283284528,"₦2,500,000.00",TOPEK (NIGERIA) ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Monday, September 20, 2021",2022-06-10,"ALAUSA, IKEJA"
Maintenance and Upkeep of Lekki Zone for The Month of February2022,LASEMA,ocds-5q8fsw-6202204753037,"₦2,200,000.00",JIKHA CONCEPTS,Private Organization,"₦10,000,001 to ₦25,000,000",19,2022,COMPLETED,COMPLETED,"Thursday, March 10, 2022",2022-06-10,"LEKKI, LAGOS"
PROCUREMENT OF PROFESSIONAL CAMERA FOR PUBLIC NLIGHTMENT DEPT OF THE MIN,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202202266841,"₦4,500,000.00",CENTURION COMMUNICATION,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 14, 2021",2022-06-10,"ALAUSA, IKEJA"
Contract Award for the ICT Upgrade of the Command and Control Centre Alausa Ikeja,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202264171805,"₦234,235,817.00",LEAPSOFT LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, May 18, 2021",2022-06-10,"ALAUSA, IKEJA"
Maintenance and Upkeep of The Cappa  Base for The Month of February 2022,LASEMA,ocds-5q8fsw-6202215870726,"₦2,200,000.00",AHIMSA CONSULTING LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",15,2022,COMPLETED,COMPLETED,"Thursday, March 31, 2022",2022-06-10,LAGOS
Procurement of Four (4) Air-Conditioners,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202200330121,"₦995,000.00",OCEANIC PALMS SERVICES,Private Organization,,0,2021,COMPLETED,,"Monday, March 22, 2021",2022-06-10,"ALAUSA, IKEJA"
"BINDING OF NEWSPAPER (JAN. - JUNE, 2020)",MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202241822815,"₦2,452,000.00",DE ATMAN PRESS LTD,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 14, 2021",2022-06-10,LAGOS
Maintenance and Upkeep of The Onipanu Unit for The Month of February 2022,LASEMA,ocds-5q8fsw-6202226853568,"₦2,200,000.00",MIRABLISS GLOBAL SERVICES LTD,Private Organization,"₦5,000,001 to ₦10,000,000",28,2022,COMPLETED,COMPLETED,"Thursday, March 31, 2022",2022-06-10,LAGOS
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR INFORMATION PRODUCTION DEPT.,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202267271826,"₦14,000,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2021,COMPLETED,,"Saturday, August 28, 2021",2022-06-10,"ALAUSA, IKEJA"
Maintenance and Upkeep of The Onipanu Unit for The Month of January 2022,LASEMA,ocds-5q8fsw-6202227354037,"₦2,200,000.00",MIRABLISS GLOBAL SERVICES LTD,Private Organization,"₦5,000,001 to ₦10,000,000",28,2022,COMPLETED,,"Monday, February 28, 2022",2022-06-10,"ONIPANU, LAGOS"
Contract Award for Fleet Management and Pre-Hospital Management of the Lagos State Emergency Management Agency,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202253553654,"₦960,000,000.00",OMARLINK INTERGRATED SERVICES LTD,Private Organization,,0,2021,COMPLETED,,"Monday, March 1, 2021",2022-06-10,"ALAUSA, IKEJA"
"Maintenance and Upkeep of The Lasema Relief Resettelement Camp,Agbowa for The Month of February 2022",LASEMA,ocds-5q8fsw-6202247427732,"₦2,200,000.00",XC - WISDOMGATE GLOBAL CONCEPT LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, March 31, 2022",2022-06-10,"AGBOWA, LAGOS"
"Maintenance and Upkeep of The Lasema Relief Resettelement Camp,Agbowa for The Month of January 2022",LASEMA,ocds-5q8fsw-6202281424140,"₦2,200,000.00",XC - WISDOMGATE GLOBAL CONCEPT LIMITED,Private Organization,,0,2022,COMPLETED,,"Tuesday, March 8, 2022",2022-06-10,"AGBOWA, LAGOS"
"Maintenance and Upkeep of The Lasema Relief Resettlement Camp, Igando for the Month of February",LASEMA,ocds-5q8fsw-6202267154123,"₦2,200,000.00",L.B.B.S. LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",16,2022,COMPLETED,,"Thursday, March 31, 2022",2022-06-10,"IGANDO, LAGOS"
Global Servicing and Repairs of Lagos State Emergency Management Agencys Operational power Motor Bikes (20 Nos.),MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202280844275,"₦12,197,621.40",LINKINPAK NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, January 12, 2021",2022-06-10,"ALAUSA, IKEJA"
"Maintenance and Upkeep of The Lasema Relief Ressettlement Camp,Igando for the Month of January",LASEMA,ocds-5q8fsw-6202257633634,"₦2,200,000.00",L.B.B.S. LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",16,2022,COMPLETED,,"Friday, March 4, 2022",2022-06-10,"ALAUSA, LAGOS"
The Purchase of One (1) Nos Dji Inspire Drone 2 and Other Media Accessories for the Public Affairs Unit,LASEMA,ocds-5q8fsw-6202267853225,"₦7,070,999.99",MIRABLISS GLOBAL SERVICES LTD,Private Organization,"₦5,000,001 to ₦10,000,000",28,2022,ON-GOING,,"Thursday, March 31, 2022",2022-06-10,"ALAUSA, LAGOS"
"Production of Strategic Workplan, Certificates & other Products for LASODA.",OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202208844732,"₦2,483,600.00",MERIT EXPRESSIONS AND CORPORATE SERVICES LTD,Private Organization,"₦25,000,001 to ₦50,000,000",25,2021,COMPLETED,,"Thursday, December 23, 2021",2022-06-10,"ALAUSA, IKEJA"
Sensitization & Awareness of Lagos State Sports Festival,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202256448615,"₦4,800,000.00",DE-MMG MEDIA,Private Organization,"₦10,000,001 to ₦25,000,000",32,2021,COMPLETED,,"Tuesday, September 28, 2021",2022-06-10,"ALAUSA, IKEJA"
Engagement of Environmental Consulting Firm for update of Lagos State Wetland Study Field Report 2009 and Review of the Draft Policy on Wetland Management and Conservation of its Biodiversity 2016,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202210554133,"₦32,001,375.00",NATURESCOPEX NIGERIA LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,4,,"Friday, April 23, 2021",2022-06-10,LAGOS
Production of Radio Jingles and Airing on Six radio Stations for the promotion of Healthy sanitation habits amongst residents,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202258567151,"₦2,478,143.52",GANEE VENTURES NIG. LTD,Private Organization,,0,2022,COMPLETED,,"Friday, March 18, 2022",2022-06-10,LAGOS
"Procurement of Stationery items, Account Books, Store Recore Cards and Registers for the Account Department",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202225725782,"₦2,473,000.00",BASOG EQUIPMENT NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Tuesday, March 22, 2022",2022-06-10,LAGOS
Procurement of Stationery and Consumable Items,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202275043625,"₦1,363,000.00",OLAYIBOLANLE NIGERIA LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",25,2022,COMPLETED,,"Thursday, March 24, 2022",2022-06-10,LAGOS
Procurement of Office Equipment,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202227187252,"₦7,731,000.00",DI TRADING POST VENTURES,Private Organization,,0,2021,COMPLETED,,"Wednesday, May 26, 2021",2022-06-10,LAGOS
CONSULTING SERVICES ON DESIGN AND DEVELOPMENT OF LAGOS STATE UNIVERSITY(LASU) ULTRA MODERN TECH. HUB,OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202237258851,"₦300,000,000.00",BEEB & BILL ASSOCIATES,Private Organization,"₦50,000,001 to ₦100,000,000",34,2021,COMPLETED,COMPLETED,"Sunday, March 28, 2021",2022-06-10,Unspecified
Production of a Movie to support advocacy against sexual and gender based violence (SGBV),"MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202265161047,"₦15,000,000.00",OYINTECH ASSURED ENTERPRISE S,Private Organization,,0,2021,COMPLETED,,"Tuesday, June 1, 2021",2022-06-10,LAGOS
Procurement of Uniform and Protectives Outfits,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202252215658,"₦2,466,400.00",L' IMAGE KONCEPTS LTD,Private Organization,,0,2021,COMPLETED,,"Friday, May 28, 2021",2022-06-10,LAGOS
"Reframing and Polishing of Artsworks on the Corridor, Staircases and Offices of the Ministry of Tourism, Arts and Culture.","MINISTRY OF TOURISM , ARTS AND CULTURE",ocds-5q8fsw-6202268171606,"₦4,000,000.00",FOJOL SCULPT NIGERIA ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Tuesday, May 11, 2021",2022-06-10,"IKEJA, LAGOS"
"Procurement of Reagents, Chemicals Consumables and Equipment for plant certification and recertification",LAGOS STATE WASTE WATER MANAGEMENT OFFICE,ocds-5q8fsw-6202222600372,"₦14,168,000.00",ALEEPH ENVIRONMENTAL SERVICES LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",20,2021,COMPLETED,,"Thursday, September 30, 2021",2022-06-10,Unspecified
Presentation Ceremony for Disability Empowerment Programme,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202235170843,"₦10,187,000.00",NEOTS LIMITED,Private Organization,,0,2021,ACTIVE,,"Friday, January 21, 2022",2022-06-09,"ALAUSA, IKEJA"
Procurement & Installation of 45KVA Generator for LASODA,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202223834156,"₦7,595,000.00",NEOTS LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, December 16, 2021",2022-06-09,"ALAUSA, IKEJA"
"Procurement of Laptops, Desktop Computers, Scanners and Printers",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202235403860,"₦10,992,580.00",UNIQTRUST TECHNOLOGIES,Private Organization,"₦10,000,001 to ₦25,000,000",32,2021,COMPLETED,,"Monday, October 18, 2021",2022-06-09,LAGOS STATE
Procurement of Furniture & Equipment for LASODA,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202225073232,"₦3,812,000.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 28, 2021",2022-06-09,"ALAUSA, IKEJA"
Event Planning of the coordinaition of Environmental Impact Assessment Process in Lagos State,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202258661865,"₦12,415,000.00",TENNYFAD CATERING SERVICES,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,COMPLETED,,"Tuesday, August 3, 2021",2022-06-09,LAGOS STATE
"Procurement of Assistive Devices for GM & Head, PA Unit, LASODA.",OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202217832562,"₦2,361,500.00",G.O. DYNASTY,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 28, 2021",2022-06-09,"ALAUSA, IKEJA"
Procurement of Office Items for Admin & HR Dept. & PA Units & MRM&A Dept.,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202248164341,"₦1,015,260.00",ALPHA LIQUID VENTURES,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 22, 2021",2022-06-09,"ALAUSA, IKEJA"
Procurement of Assistive Devices & Equipment to PWDs.,OFFICE OF DISABILITY AFFAIRS,ocds-5q8fsw-6202275451806,"₦44,371,000.00",LAURYNBANKY INTERNATIONAL COMPANY,Private Organization,,0,2021,COMPLETED,,"Tuesday, September 21, 2021",2022-06-09,"ALAUSA, IKEJA"
Construction of 3000 Nos of Reflective signages (2ft by 2.5ft) for Public awareness creation on Plastic waste Pollution Policy,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202261165361,"₦17,086,500.00",GANEE VENTURES NIG. LTD,Private Organization,,0,2021,COMPLETED,,"Friday, December 3, 2021",2022-06-09,LAGOS STATE
"Procurement of Laptops, printers, Photocopiers and other office Equipment for Planning Unit",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202206724426,"₦3,998,550.00",BASOG EQUIPMENT NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, November 22, 2021",2022-06-09,LAGOS STATE
Construction of warning  and awareness creation of signages on sanitation matters in the State,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202213172822,"₦4,944,500.00",STEZE GLOBAL RESOURCES LTD,Private Organization,,0,2021,COMPLETED,,"Monday, November 15, 2021",2022-06-09,LAGOS STATE
Procurement of Equipment for collection of data for formulation of Policy and guideline for the protection of the Environment,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202232020583,"₦7,160,200.00",HORTON TIMS VENTURES,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 22, 2021",2022-06-09,LAGOS STATE
"""Procurement of Tools for the Maintenance of Sewer Networks at the Wastewater Treatment Plants and  Equipment for the Design Office at the Lagos State Wastewater Management Office 
 
 
 
 """,LAGOS STATE WASTE WATER MANAGEMENT OFFICE,ocds-5q8fsw-6202211082728,"₦2,243,267.74",STONEWORKS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 23, 2021",2022-06-09,LAGOS
Procurement of Protective Clothes and tools for Monitoring and Enforcement of Open Defecation in Lagos State,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202253073515,"₦6,916,480.00",CIVIL HYDRO RELIANCE LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 22, 2021",2022-06-09,LAGOS STATE
"""Procurement on the Maintenance of Four (4) Utility Buses for Monitoring of the Environment for the months of January-June 2021",LAGOS STATE WASTE WATER MANAGEMENT OFFICE,ocds-5q8fsw-6202212512004,"₦1,878,800.00",CIVIL HYDRO RELIANCE LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, July 13, 2021",2022-06-09,LAGOS
Event Planning for Training workshops/Stakeholders Engagement/sensitization for Gender based climate adaptation across three (3) Senatorial District in Lagos State,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202212557245,"₦6,200,000.00",OAKEN EVENTS LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, August 3, 2021",2022-06-09,LAGOS
Procurement on the Maintenance of Alausa Sewer Network at the Secretariat Alausa Ikeja.,LAGOS STATE WASTE WATER MANAGEMENT OFFICE,ocds-5q8fsw-6202258785238,"₦23,814,176.46",SLITHERS NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Sunday, June 6, 2021",2022-06-09,Unspecified
Event Planning of world Environment Day,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202272164146,"₦13,049,000.00",STEZE GLOBAL RESOURCES LTD,Private Organization,,0,2021,COMPLETED,,"Thursday, July 29, 2021",2022-06-09,LAGOS
Procurement of four (4) Nos of fairly used suzuki Mini Buses- 2 WD Manual Transmission and other consolation Prizes for Sanitation Competition amongs LGs and LCDAs,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-6202247265387,"₦19,916,000.00",CIVIL HYDRO RELIANCE LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, July 22, 2021",2022-06-09,LAGOS
